"SOURSE","Context","Translation"
"Haha! Wonderful.","","Haha! Wonderful."
"Fine.","","Fine."
"","",""
"Adorable","","Adorable"
"","",""
"I believe some of you broke a sweat that time. Let’s see if it pays off.","","I believe some of you broke a sweat that time. Let’s see if it pays off."
"Nice hustle. Let\'s find out if it was worth it.","","Nice hustle. Let\'s find out if it was worth it."
"Oh yes, this is gonna be good.","","Oh yes, this is gonna be good."
"You really dug deep that time.","","You really dug deep that time."
"Alright then.","","Alright then."
"","",""
"Use your devices to enter one new drawing and as many new slogans as you wish.","","Use your devices to enter one new drawing and as many new slogans as you wish."
"","",""
"Your journey to victory begins here, at the training grounds.","","Your journey to victory begins here, at the training grounds."
"Your winding path to victory starts here, at the training grounds.","","Your winding path to victory starts here, at the training grounds."
"Every epic tale starts somewhere. Yours begins here, at the training grounds.","","Every epic tale starts somewhere. Yours begins here, at the training grounds."
"Welcome to the training grounds.","","Welcome to the training grounds."
"The road to greatness begins here, at the training grounds.","","The road to greatness begins here, at the training grounds."
"","",""
"Good, good! Yes. One more drawing. Use that negative space!","","Good, good! Yes. One more drawing. Use that negative space!"
"Last drawing! Let\'s get weird with it!","","Last drawing! Let\'s get weird with it!"
"One drawing to go! Let your freak flag fly, man!","","One drawing to go! Let your freak flag fly, man!"
"Excellent! Now really get nuts with this last one!","","Excellent! Now really get nuts with this last one!"
"Gorgeous! One more to go! Wow me, babies!","","Gorgeous! One more to go! Wow me, babies!"
"","",""
"<PLAYER>’s t-shirt was so popular that top surgeons from the Mayo Clinic offered to operate on <PLAYER>’s sick mother free of charge. Not only did they cure her completely, they gave her bionic thumbs and a Bluetooth spleen. She calls <PLAYER> for tech support a lot, which is annoying, but mostly worth it.","Кот","<PLAYER>’s t-shirt was so popular that top surgeons from the Mayo Clinic offered to operate on <PLAYER>’s sick mother free of charge. Not only did they cure her completely, they gave her bionic thumbs and a Bluetooth spleen. She calls <PLAYER> for tech support a lot, which is annoying, but mostly worth it."
"<PLAYER> donated the licensing rights for the winning t-shirt to the orphanage, saving it from foreclosure. The evil banker was outraged, as he had planned to bulldoze the orphanage and build a sadness factory, but after seeing <PLAYER>’s shirt, he couldn’t help but smile. His face froze that way. He is in constant pain.","Енот","<PLAYER> donated the licensing rights for the winning t-shirt to the orphanage, saving it from foreclosure. The evil banker was outraged, as he had planned to bulldoze the orphanage and build a sadness factory, but after seeing <PLAYER>’s shirt, he couldn’t help but smile. His face froze that way. He is in constant pain."
"<PLAYER> parlayed tournament success into a hit reality show, a highly successful lifestyle brand, and a short-lived singing career in Germany. The only thing all that money couldn’t buy was happiness. But it could buy a robot butler and a lifetime supply of candy. And that was good enough for <PLAYER>.","Водяной(яп.)","<PLAYER> parlayed tournament success into a hit reality show, a highly successful lifestyle brand, and a short-lived singing career in Germany. The only thing all that money couldn’t buy was happiness. But it could buy a robot butler and a lifetime supply of candy. And that was good enough for <PLAYER>."
"<PLAYER>’s winning shirt was so incredible that it took weeks for anyone to notice <PLAYER> was just a regular, non-sapient dog who happened to paw the right buttons on a phone. Even so, <PLAYER>’s shirt united the world, and <PLAYER> became the second dog ever to be awarded the Nobel Peace Prize.","Собака","<PLAYER>’s winning shirt was so incredible that it took weeks for anyone to notice <PLAYER> was just a regular, non-sapient dog who happened to paw the right buttons on a phone. Even so, <PLAYER>’s shirt united the world, and <PLAYER> became the second dog ever to be awarded the Nobel Peace Prize."
"<PLAYER> used all of the fame and fortune from winning the tournament to open a small sandal shop on Venice Beach. Sometimes, one of the tourists will say “Hey, aren’t you the t-shirt guy?” And <PLAYER> will say, “No. Not anymore. Also I am not a guy. I am an umbrella. Would you like to buy a sandal?”","Зонт","<PLAYER> used all of the fame and fortune from winning the tournament to open a small sandal shop on Venice Beach. Sometimes, one of the tourists will say “Hey, aren’t you the t-shirt guy?” And <PLAYER> will say, “No. Not anymore. Also I am not a guy. I am an umbrella. Would you like to buy a sandal?”"
"<PLAYER> retired from competition to study t-shirt science. Decades later, <PLAYER> finally succeeded in creating the one, true perfect shirt…only to find that it was an exact copy of the shirt that won this very tournament. <PLAYER>’s final words were “Well, that was ironic.”","Синий Демон","<PLAYER> retired from competition to study t-shirt science. Decades later, <PLAYER> finally succeeded in creating the one, true perfect shirt…only to find that it was an exact copy of the shirt that won this very tournament. <PLAYER>’s final words were “Well, that was ironic.”"
"<PLAYER>’s tournament win was just one in a long series of exciting adventures. Like that time <PLAYER> rode a dinosaur, the time <PLAYER> went to Mars, and the time <PLAYER> met the Harlem Globetrotters! Honestly, winning this tournament was the least interesting thing <PLAYER> ever did. Oh well.","Красный демон","<PLAYER>’s tournament win was just one in a long series of exciting adventures. Like that time <PLAYER> rode a dinosaur, the time <PLAYER> went to Mars, and the time <PLAYER> met the Harlem Globetrotters! Honestly, winning this tournament was the least interesting thing <PLAYER> ever did. Oh well."
"<PLAYER> asked that we use this part of the game to raise Fin Rot awareness. Fin Rot is characterized by ragged, frayed fin edges in fish. It’s usually the result of a bacterial or fungal infection, but it can also be caused by stress! To learn how you can help, visit your local aquarium. And tell ‘em <PLAYER> sent ya!","Сом","<PLAYER> asked that we use this part of the game to raise Fin Rot awareness. Fin Rot is characterized by ragged, frayed fin edges in fish. It’s usually the result of a bacterial or fungal infection, but it can also be caused by stress! To learn how you can help, visit your local aquarium. And tell ‘em <PLAYER> sent ya!"
"<PLAYER> ‘s t-shirt was so remarkable that the spirits of T-Shirt Island granted <PLAYER> one wish. This was a terrible mistake. Today, <PLAYER> rules the island as a tyrant, devouring anyone who rebels. But, the school system has actually improved, and the monthly luaus are pretty fun. So it’s not all bad.","Волосяное Чудовище","<PLAYER> ‘s t-shirt was so remarkable that the spirits of T-Shirt Island granted <PLAYER> one wish. This was a terrible mistake. Today, <PLAYER> rules the island as a tyrant, devouring anyone who rebels. But, the school system has actually improved, and the monthly luaus are pretty fun. So it’s not all bad."
"<PLAYER>’s tournament win wasn’t surprising since <PLAYER> never loses. In fact, <PLAYER> would later win the Illinois State Lottery, three gold medals in sport climbing, and a Spike Video Game Award. It was like that Twilight Zone where the gambler can’t lose. Except not creepy. Just awesome.","Кролик","<PLAYER>’s tournament win wasn’t surprising since <PLAYER> never loses. In fact, <PLAYER> would later win the Illinois State Lottery, three gold medals in sport climbing, and a Spike Video Game Award. It was like that Twilight Zone where the gambler can’t lose. Except not creepy. Just awesome."
"<PLAYER>’s winning shirt opened a lot of doors in Hollywood, which lead to an executive producer credit on the long-running sitcom “That’s My Shirt!” Several spinoffs followed, including “My Mother the Shirt!”, “Friends But with Shirts”, and the “Shirt Time Sing-Along Variety Hour.” <PLAYER> is very rich.","Лиса","<PLAYER>’s winning shirt opened a lot of doors in Hollywood, which lead to an executive producer credit on the long-running sitcom “That’s My Shirt!” Several spinoffs followed, including “My Mother the Shirt!”, “Friends But with Shirts”, and the “Shirt Time Sing-Along Variety Hour.” <PLAYER> is very rich."
"<PLAYER> went home after the tournament and had a quiet, pleasant evening.","Огонь","<PLAYER> went home after the tournament and had a quiet, pleasant evening."
"<PLAYER> tried to explain that entering the tournament had been an accident. <PLAYER> had thought the entry form was for a raffle for a free car wash. Regardless, the mayor gave <PLAYER> the key to the city and made every third Wednesday in November “<PLAYER> Day.” <PLAYER> remains frustrated.","Ворон","<PLAYER> tried to explain that entering the tournament had been an accident. <PLAYER> had thought the entry form was for a raffle for a free car wash. Regardless, the mayor gave <PLAYER> the key to the city and made every third Wednesday in November “<PLAYER> Day.” <PLAYER> remains frustrated."
"<PLAYER> won the tournament, but failed to win the respect of Uncle Bill, who was offended by <PLAYER> refusal to come work at his house-painting company. Luckily, <PLAYER> eventually came to a point of self-acceptance, and was able to love Uncle Bill for who he is. Uncle Bill’s still a huge jerk though.","Обезьяна","<PLAYER> won the tournament, but failed to win the respect of Uncle Bill, who was offended by <PLAYER> refusal to come work at his house-painting company. Luckily, <PLAYER> eventually came to a point of self-acceptance, and was able to love Uncle Bill for who he is. Uncle Bill’s still a huge jerk though."
"<PLAYER> achieved the life-long dream of winning the tournament. This was great, but now <PLAYER> needed a new dream. Maybe being the world’s tallest gardener? Or forming a sled dog team comprised solely of wiener dogs? <PLAYER> is still taking dream suggestions if you’ve got any.","Слон","<PLAYER> achieved the life-long dream of winning the tournament. This was great, but now <PLAYER> needed a new dream. Maybe being the world’s tallest gardener? Or forming a sled dog team comprised solely of wiener dogs? <PLAYER> is still taking dream suggestions if you’ve got any."
"<PLAYER>’s success resulted in many lucrative endorsement deals. For a while, <PLAYER> was the official mascot for “Scaly-O’s,” a breakfast cereal with a lifelike snakeskin texture. The idea failed instantly, but <PLAYER> had been paid up front, so it all basically worked out. Also it turned out <PLAYER> was immortal.","Змея","<PLAYER>’s success resulted in many lucrative endorsement deals. For a while, <PLAYER> was the official mascot for “Scaly-O’s,” a breakfast cereal with a lifelike snakeskin texture. The idea failed instantly, but <PLAYER> had been paid up front, so it all basically worked out. Also it turned out <PLAYER> was immortal."
"","",""
"Next, the slogans. Try not to be too boring.","","Next, the slogans. Try not to be too boring."
"Now the writing part. I\'m so excited!","","Now the writing part. I\'m so excited!"
"And now we write.","","And now we write."
"Now make with the funny slogans.","","Now make with the funny slogans."
"And now a fresh batch of slogans.","","And now a fresh batch of slogans."
"Next, we\'ll need some hot new slogans. Oh, that\'s your job.","","Далі, нам потрібно трохи крутих нових слоганів. О, це ж ваша робота."
"Next the slogans. Ready?","","Далі йдуть слогани. Готові?"
"We\'ll also need some slogans if you think you can manage it.","","We\'ll also need some slogans if you think you can manage it."
"Now hit me with some hip new slogans.","","Now hit me with some hip new slogans."
"And now it\'s time for the slogans.","","І тепер настав час для слоганів."
"","",""
"The Last Shirt Off","","The Last Shirt Off"
"Shirt Gets Real","","Shirt Gets Real"
"King Of Shirts","","King Of Shirts"
"Shirts of Legend","","Shirts of Legend"
"","",""
"One Size Hits All","","One Size Hits All"
"Return of the Shirt","","Return of the Shirt"
"Shirts Of Rage","","Shirts Of Rage"
"Wear And Tear","","Wear And Tear"
"Shirt Feelings","","Shirt Feelings"
"Only the Shirt","","Only the Shirt"
"Clan of the Shirt","","Clan of the Shirt"
"Shirt with the Golden Arm","","Shirt with the Golden Arm"
"","",""
"T-shirt forever","","T-shirt forever"
"","",""
"Your training is complete. Now point your eyes at your device.","","Ваше тренування завершена. Тепер опустіть свій погляд на ваші пристрої."
"Enough training. Direct your attention to your device.","","Досить тренувань. Зверніть увагу на ваші пристрої."
"Training complete. Now take a look at your device.","","Тренування завершено. Тепер подивіться на ваші пристрої."
"The time for training is over. Have a look at your device.","","Час тренування закінчено. Погляньте на свої пристрої."
"Your training is at an end. Now take note of your device.","","Your training is at an end. Now take note of your device."
"","",""
"Uh oh. Did I lose you? (sighs) Another tournament ends in a draw.","","Uh oh. Did I lose you? (sighs) Another tournament ends in a draw."
"Hello? Champions? Anyone? Eh, they probably died.","","Hello? Champions? Anyone? Eh, they probably died."
"Uh, hello? I didn\'t organize this whole Tournament just to sit here by myself like a jerk! Fine. You all lose.","","Uh, hello? I didn\'t organize this whole Tournament just to sit here by myself like a jerk! Fine. You all lose."
"So... you all forfeit then? Or what? Hm? Hello? Fine, you know, I declare myself the winner. Yay for me!","","So... you all forfeit then? Or what? Hm? Hello? Fine, you know, I declare myself the winner. Yay for me!"
"What, did you all organize a walk-out in protest of t-shirt violence? If you don\'t want to compete, just say so!","","What, did you all organize a walk-out in protest of t-shirt violence? If you don\'t want to compete, just say so!"
"","",""
"While our contestants train, anyone watching the Tournament can join the audience to submit your own suggestions and affect the outcome of the game!","","While our contestants train, anyone watching the Tournament can join the audience to submit your own suggestions and affect the outcome of the game!"
"Those of you watching the Tournament don\'t have to wait another 100 years to get in on the fun. Join the audience to submit suggestions and affect the game!","","Those of you watching the Tournament don\'t have to wait another 100 years to get in on the fun. Join the audience to submit suggestions and affect the game!"
"If you didn\'t qualify for the Tournament, don\'t fret. Simply join the audience to submit your suggestions and vote on your favorite shirts.","","If you didn\'t qualify for the Tournament, don\'t fret. Simply join the audience to submit your suggestions and vote on your favorite shirts."
"Watching the Tournament, but wish you were playing along? Join the audience and affect the outcome of the game!","","Watching the Tournament, but wish you were playing along? Join the audience and affect the outcome of the game!"
"While the chosen few prepare for battle, Tournament spectators can get in on the fun by joining the audience. Submit suggestions and vote for the best shirts!","","While the chosen few prepare for battle, Tournament spectators can get in on the fun by joining the audience. Submit suggestions and vote for the best shirts!"
"","",""
"Draw me something pretty, won\'t you?","","Draw me something pretty, won\'t you?"
"Time to draw!","","Time to draw!"
"Let\'s make some art.","","Let\'s make some art."
"Ready to draw?","","Ready to draw?"
"Drawing time is upon us.","","Drawing time is upon us."
"Drawing number one...","","Drawing number one..."
"Drawing fingers ready, and...","","Drawing fingers ready, and..."
"Let\'s draw, shall we?","","Let\'s draw, shall we?"
"Draw something good this time.","","Draw something good this time."
"Hit me with some drawings, baby!","","Hit me with some drawings, baby!"
"","",""
"No votes. Everyone was just in awe of these shirts I guess.","","No votes. Everyone was just in awe of these shirts I guess."
"Oookay, no votes.","","Oookay, no votes."
"Aaaand no one bothered to vote.","","Aaaand no one bothered to vote."
"Voting is kind of a key part of this game.","","Voting is kind of a key part of this game."
"No votes. Whatever.","","No votes. Whatever."
"Fine, don\'t vote. See if I care.","","Fine, don\'t vote. See if I care."
"No opinions on either of these, apparently.","","No opinions on either of these, apparently."
"It\'s more fun when you vote, but hey, you know, you do you.","","It\'s more fun when you vote, but hey, you know, you do you."
"","",""
"Use your device to create your t-shirt. The tackier the better, I say.","","Use your device to create your t-shirt. The tackier the better, I say."
"Make your t-shirt on your device. Have fun with it!","","Make your t-shirt on your device. Have fun with it!"
"Okay, make your shirts. Something classy but sassy!","","Okay, make your shirts. Something classy but sassy!"
"Hope you got something you can work with. Create your shirt!","","Hope you got something you can work with. Create your shirt!"
"Now for the payoff: Make your shirt masterpiece!","","Now for the payoff: Make your shirt masterpiece!"
"Now make me a shirt that\'ll really turn some heads.","","Now make me a shirt that\'ll really turn some heads."
"Time to breathe life into your t-shirt creation. Live!","","Time to breathe life into your t-shirt creation. Live!"
"Oh boy, this is my favorite part. Make your shirts now!","","Oh boy, this is my favorite part. Make your shirts now!"
"Now spin those slogans and drawings into t-shirt gold!","","Now spin those slogans and drawings into t-shirt gold!"
"All right, make your shirts now!","","All right, make your shirts now!"
"","",""
"Welcome to Tee K.O. I am the Tournament Master. That’s not my real name, but my girlfriend said Tournament Master was more mysterious","","Welcome to Tee K.O. I am the Tournament Master. That’s not my real name, but my girlfriend said Tournament Master was more mysterious"
"Welcome to Tee K.O. I am the Tournament Master and my word is law. But I’m actually very approachable.","","Welcome to Tee K.O. I am the Tournament Master and my word is law. But I’m actually very approachable."
"Welcome to Tee K.O. I am the Tournament Master and I have the legal authority to marry any couple for the duration of the game. But that probably won’t come up.","","Welcome to Tee K.O. I am the Tournament Master and I have the legal authority to marry any couple for the duration of the game. But that probably won’t come up."
"Welcome to Tee K.O. I am the Tournament Master, or as my friends know me, “TournMo”.","","Welcome to Tee K.O. I am the Tournament Master, or as my friends know me, “TournMo”."
"Welcome to Tee K.O. I am the Tournament Master. I’m over 5,000 years old, and I’m on my 200th re-watch of The Wire.","","Welcome to Tee K.O. I am the Tournament Master. I’m over 5,000 years old, and I’m on my 200th re-watch of The Wire."
"Welcome to Tee K.O. I am the Tournament Master and I am NOT the devil, okay everyone? So quit asking!","","Welcome to Tee K.O. I am the Tournament Master and I am NOT the devil, okay everyone? So quit asking!"
"Welcome to Tee K.O. I am the Tournament Master and according to the ancient gem on my wrist, I\'ve walked 1,400 steps today!","","Welcome to Tee K.O. I am the Tournament Master and according to the ancient gem on my wrist, I\'ve walked 1,400 steps today!"
"Welcome to Tee K.O. I am the Tournament Master. Well, actually I\'m his identical twin brother, but he\'s at the dentist so I\'m \"filling\""" in. (laughs)""","","Welcome to Tee K.O. I am the Tournament Master. Well, actually I\'m his identical twin brother, but he\'s at the dentist so I\'m \"filling\""" in. (laughs)"""
"Welcome to Tee K.O. I am the Tournament Master and I\'ve go a weird rash on my pinky toe. That\'s not important to the game, just something I\'m thinking about.","","Welcome to Tee K.O. I am the Tournament Master and I\'ve go a weird rash on my pinky toe. That\'s not important to the game, just something I\'m thinking about."
"Welcome to Tee K.O. I am the Tournament Master. My likes include t-shirts and fighting. My dislikes include seafood, negativity, and mind games. Life is too short.","","Welcome to Tee K.O. I am the Tournament Master. My likes include t-shirts and fighting. My dislikes include seafood, negativity, and mind games. Life is too short."
"Welcome to Tee K.O. I am the Tournament Master, and according to the sands in my mystical hourglass, you\'re too late to enter the tournament. Oh wait, this is running fast. You\'re good.","","Welcome to Tee K.O. I am the Tournament Master, and according to the sands in my mystical hourglass, you\'re too late to enter the tournament. Oh wait, this is running fast. You\'re good."
"Welcome to Tee K.O. I am the Tournament Master. But that\'s not ALL I am, you know? I also play the oboe.","","Welcome to Tee K.O. I am the Tournament Master. But that\'s not ALL I am, you know? I also play the oboe."
"Welcome to Tee K.O. I am the Tournament Master. Please hold your applause until after the tournament.","","Welcome to Tee K.O. I am the Tournament Master. Please hold your applause until after the tournament."
"Welcome to Tee K.O. I am the Tournament Master, just as my father was, and his father before him. The one before that was a paralegal, though.","","Welcome to Tee K.O. I am the Tournament Master, just as my father was, and his father before him. The one before that was a paralegal, though."
"Welcome to Tee K.O. I am the Tournament Master and I look GOOD today.","","Welcome to Tee K.O. I am the Tournament Master and I look GOOD today."
"Welcome to Tee K.O. I am the Tournament Master, inventor of the deadly Five Fold Exploding T-Shirt Technique. Patent pending.","","Welcome to Tee K.O. I am the Tournament Master, inventor of the deadly Five Fold Exploding T-Shirt Technique. Patent pending."
"Welcome to Tee K.O. I am the Tournament Master. But you may know me as ShirtLover1504. Swipe right, ladies.","","Welcome to Tee K.O. I am the Tournament Master. But you may know me as ShirtLover1504. Swipe right, ladies."
"Welcome to Tee K.O. I am the Tournament Master and this accent is NOT an affectation!","","Welcome to Tee K.O. I am the Tournament Master and this accent is NOT an affectation!"
"Welcome to Tee K.O. I am the Tournament Master and I\'m currently accepting applications for a morally corruptible henchman. Three years experience preferred.","","Welcome to Tee K.O. I am the Tournament Master and I\'m currently accepting applications for a morally corruptible henchman. Three years experience preferred."
"Welcome to Tee K.O. I am the Tournament Master and I\'m happy with the life I have chosen. Okay mom??","","Welcome to Tee K.O. I am the Tournament Master and I\'m happy with the life I have chosen. Okay mom??"
"Welcome to Tee K.O. I am the Tournament Master. So if you see a coffee mug that says \"World\'s Greatest Tournament Master\""" do not use it. That is clearly my mug!""","","Welcome to Tee K.O. I am the Tournament Master. So if you see a coffee mug that says \"World\'s Greatest Tournament Master\""" do not use it. That is clearly my mug!"""
"Welcome to Tee K.O. I am the Tournament Master. If you\'re wondering what I look like, think young Patrick Dempsey.","","Welcome to Tee K.O. I am the Tournament Master. If you\'re wondering what I look like, think young Patrick Dempsey."
"Welcome to Tee K.O. I am the Tournament Master and I just perfected the Stare of Death! So that should- Whoops! Uh-oh. Oh no, I looked in the mirror! Oh boy. Well, let\'s move this thing along before I die.","","Welcome to Tee K.O. I am the Tournament Master and I just perfected the Stare of Death! So that should- Whoops! Uh-oh. Oh no, I looked in the mirror! Oh boy. Well, let\'s move this thing along before I die."
"Welcome to Tee K.O. I am the Tournament Master, and just because I\'m old doesn\'t mean I\'m out of touch! Like those Budweiser frogs, right? Hilarious.","","Welcome to Tee K.O. I am the Tournament Master, and just because I\'m old doesn\'t mean I\'m out of touch! Like those Budweiser frogs, right? Hilarious."
"Welcome to Tee K.O. I am the Tournament Master. Or perhaps I\'m one of his many lifelike robot duplicates? Even I\'m not sure!","","Welcome to Tee K.O. I am the Tournament Master. Or perhaps I\'m one of his many lifelike robot duplicates? Even I\'m not sure!"
"Welcome to Tee K.O. I am the Tournament Master, and this is my invisible familiar, Dimitri. Say hello, Dimitri... Dimitri? (sighs) Lost him again.","","Welcome to Tee K.O. I am the Tournament Master, and this is my invisible familiar, Dimitri. Say hello, Dimitri... Dimitri? (sighs) Lost him again."
"Welcome to Tee K.O. I am the Tournament Master. The jealousy you\'re experiencing is perfectly normal.","","Welcome to Tee K.O. I am the Tournament Master. The jealousy you\'re experiencing is perfectly normal."
"Welcome to Tee K.O. I am the Tournament Master. Just an FYI, the elixir that gives me eternal life is beginning to affect the speech center of my brain. So if I use the wrong porcupines, that\'s why.","","Welcome to Tee K.O. I am the Tournament Master. Just an FYI, the elixir that gives me eternal life is beginning to affect the speech center of my brain. So if I use the wrong porcupines, that\'s why."
"Welcome to Tee K.O. I am the Tournament Master, and my mind is a lethal weapon. Go ahead, try and attack my mind! I-Ow! Ouch! Wha? I wasn\'t ready!","","Welcome to Tee K.O. I am the Tournament Master, and my mind is a lethal weapon. Go ahead, try and attack my mind! I-Ow! Ouch! Wha? I wasn\'t ready!"
"Welcome to Tee K.O. I am the Tournament Master. This was supposed to be my lunch break, but I guess I\'ll I\'ll just wolf down a hot pocket between rounds.","","Welcome to Tee K.O. I am the Tournament Master. This was supposed to be my lunch break, but I guess I\'ll I\'ll just wolf down a hot pocket between rounds."
"Welcome to Tee K.O. I am the Tournament Master. Boy, if you told me a thousand years ago I\'d STILL be mastering this tournament? But, the hours are good and I need the dental plan, so here we are.","","Welcome to Tee K.O. I am the Tournament Master. Boy, if you told me a thousand years ago I\'d STILL be mastering this tournament? But, the hours are good and I need the dental plan, so here we are."
"Welcome to Tee K.O. I am the Tournament Master. I\'d tell you my real name, but your fragile human minds couldn\'t comprehend it. Plus I\'m terrified of cyberspace identity theft!","","Welcome to Tee K.O. I am the Tournament Master. I\'d tell you my real name, but your fragile human minds couldn\'t comprehend it. Plus I\'m terrified of cyberspace identity theft!"
